,Incident,Location,Reported Date,Occured Date,Comments,Disposition,UCPDI#
0,Information / Armed Robbery,53rd St. between Woodlawn &amp; Kimbark,7/7/16 2:57 AM,7/7/16 2:55 AM,"Unknown suspect, armed with a handgun, took property from a drugstore / No injuries reported / CPD case",CPD,
1,Non Criminal / Damage to Vehicle,6054 S. Drexel,7/7/16 7:43 AM,2/17/16 to 6/14/16 7:00 PM to 7:45 AM,Minor damage noticed on UC owned vehicle / Cause unknown at this time,Closed,16-00575
2,Information / Burglary,54th Pl. near Woodlawn,7/7/16 8:02 AM,7/7/16 2:00 AM to 7:00 AM,Unknown person(s) gained entry to private residence off-campus via unsecured rear window / Took electronics from the residence and car from the garage / CPD case HZ339043,CPD,16-00576
3,Lost Property,5700 S. Maryland (CCD),7/7/16 3:39 PM,6/27/16 to 7/7/16 12:00 PM to 3:30 PM,"Patient reports cash missing from purse, but cannot recall if cash was given to a family member during her stay",Closed,16-00577
4,Information / Traffic Crash,5800 S. Stony Island,7/6/16 8:35 AM,7/6/16 8:35 AM,"UC owned vehicle stopped in traffic was rear-ended by another vehicle / Property damage only, no injuries reported / 2016-MVA00103",Closed,16-00569
5,Information / Forged Prescription,950 E. 59th St. (Billings Hospital),7/6/16 2:52 PM,6/21/16 7:00 AM to 5:00 PM,Staff member was notified that an unknown person attempted to obtain controlled substance with a forged prescription on N. Michigan Av. / CPD case,CPD,16-00570
6,Harassment by Telephone,5640 S. University (Bartlett Commons),7/6/16 3:26 PM,7/3/16 9:45 AM to 2:55 PM,Individual called victim's phone numerous times looking for an unknown person / Suspect refused to cease calling,Open,16-00571
7,Weapons Violation,5815 S. Maryland (Mitchell Hospital),7/6/16 2:25 PM,7/6/16 2:25 PM,Firearm was found in patient's room / Weapon confiscated / Suspect arrested by UCPD for illegal possession of firearm,Arrest,16-00572
8,Information / Damage to Vehicle,6245 S. Ingleside (Public Way),7/5/16 12:17 AM,7/5/16 12:15 AM,"A bullet, fired by unknown person, struck and damaged the overhead lights on UC owned vehicle off-campus",Closed,16-00562
9,Information / Aggravated Battery,6243 S. Drexel (Alley),7/5/16 12:17 AM,7/5/16 12:15 AM,"Victim, walking in alley off-campus, struck in the face by a shot fired by unknown person / Transported to hospital by CFD EMS / CPD case ",CPD,16-00563
10,Information / Medical Call,Greenwood between 54th &amp; 55th,7/5/16 1:35 AM,7/5/16 1:35 AM,Individual became ill after consuming alcohol and illegal drugs at a private residence off-campus / Transported to ER by CFD EMS,Closed,16-00564
11,Criminal Damage to Property,969 E. 60th St. (Public Way),7/5/16 11:02 AM,7/5/16 10:50 AM,Unknown individual seen breaking side window of unoccupied van parked on the street,Open,16-00565
12,Assist Other Agency / Domestic Battery,5220 S. Drexel (Public Way),7/4/16 5:42 PM,7/4/16 5:42 PM,UCPD officers detained a suspect who had pushed his girlfriend to the ground before fleeing in a car / Suspect arrested by CPD and charged with domestic battery / CPD case HZ335293,CPD,16-00561
13,Found Property,6054 S. Drexel,7/3/16 7:35 AM,7/3/16 7:30 AM,Cash and ear phones found in UC owned vehicle / Inventoried for safekeeping,Closed,16-00560
14,Information /  Shots Fired,Woodlawn between 61st &amp; 62nd,7/3/16 10:02 AM,7/3/16 10:02 AM,"UCPD and CPD officers responded to a call of shots fired off-campus / No injured persons, suspects or property damage found / No crime scene located ",CPD,
15,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1467435600,,,,,,
16,Non-Criminal Property Damage,1150 E. 58th St. (Saieh Hall),7/1/16 12:52 PM,7/1/16 12:52 PM,"The letter ""S"" in Saieh Hall sign on rear of building is damaged / Cause unknown",Closed,16-00556
17,Traffic Crash,940 E. 57th St.,7/1/16 12:53 PM,7/1/16 12:50 PM,Parked UC owned vehicle sideswiped by another vehicle / Property damage only / No injuries reported / MVA00102,Closed,16-00557
18,Information / Assist Other Agency,6052 S. Kenwood (Soccer Field),7/1/16 6:28 PM,7/1/16 6:28 PM,"Suspect being chased on foot by CPD officers, threw a handgun over the fence of the gated athletic field / UCPD arranged to have gate unlocked / Weapon recovered, suspect in custody of CPD / CPD HZ331695",CPD,16-00558
19,Information / Aggravated Battery,825 E. 62nd St. (Public Way),7/1/16 8:54 PM,7/1/16 8:50 PM,Victim suffered a gunshot wound to the left leg as he walked with friends off-campus near the alley at 825 E. 62nd St. / Suspect(s) not seen / Transported to hospital by CFD EMS / CPD case HZ331878,CPD,16-00559
20,Non-Criminal / Damage to Property,5628 S. Drexel,6/30/16 9:35 AM,6/30/16 9:20 AM,UC staff member using a weed whacker struck a rock that broke the passenger's side window in a vehicle parked at the curb / Vehicle owner notified,Closed,16-00554
21,Void,Void,Void,Void,Number generated in error,Void,16-00555
22,Assist Other Agency / Recovered Motor Vehicle,6200 S. Harper,6/29/16 10:17 AM,6/29/16 10:17 AM,"UCPD officers, subsequent to a traffic stop, detained motorist for CPD upon discovering the vehicle had been reported stolen to CPD / CPD case HZ326986",CPD,16-00551
23,Information / Theft,6300 S. University (Construction Site),6/29/16 11:08 AM,6/28/16 to 6/29/16 3:30 PM to 6:30 AM,Unknown person(s) cut locks at construction site and took construction tools and equipment / CPD case HZ327932,CPD,16-00552
24,Theft,947 E. 58th St. (Abbott Memorial Hall),6/29/16 10:41 AM,6/16/16 12:30 AM to 10:00 AM,"Unattended, unsecured cell phone charger cord taken from lab workstation",Open,16-00553
25,Found Property,5100 S. Ellis,6/28/16 8:35 AM,6/28/16 8:30 AM,Individual found shotgun shell on the ground off-campus / Turned over to UCPD for proper disposal,Closed,16-00546
26,Void,Void,Void,Void,Report generated in error,Void,16-00547
27,Void,Void,Void,Void,Report generated in error,Void,16-00548
28,Traffic Crash,850 E. 58th St.,6/28/16 4:19 PM,6/28/16 4:19 PM,"Parked, unoccupied UC owned vehicle struck by another motor vehicle / Property damage only / No injuries reported / 2016-MVA000101",Closed,16-00549
29,Found Property,929 E. 57th St. (Gordon Center),6/27/16 7:26 AM,6/27/16 7:00 AM,A box containing 15 rounds of rifle ammunition found by staff member emptying trash container / Turned over to UCPD for disposal,Closed,16-00542
30,Lost Property,5811 S. Ellis (Cobb Hall),6/27/16 7:47 AM,6/24/16 to 6/27/16 3:50 PM to 6:00 AM,Individual reports loss of laptop computer / Last recalls seeing property in Cobb Hall,Closed,16-00543
31,Information / Theft,Woodlawn between 53rd &amp; 54th,6/27/16 1:06 PM,6/26/16 to 6/27/16 9:00 PM to 1:00 PM,Bicycle secured to railing at off-campus private apartment building taken by unknown person / Referred to CPD,CPD,16-00544
32,Battery,5815 S. Maryland (Mitchell Hospital),6/27/16 7:58 PM,6/27/16 7:15 PM,3 visitors struck an individual with hands and fists  during the course of an argument in patient's room / Suspects fled before police arrived,Open,16-00545
33,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1466917200,,,,,,
34,Medical Call,Ellis between 53rd &amp; 54th,6/25/16 1:10 AM,6/25/16 1:10 AM,Individual became ill after ingesting an unknown substance and smoking marijuana at a party off-campus / Transported to ER by CFD EMS,Referred,16-00537
35,Information / Robbery,5813 S. Blackstone (Public Way),6/25/16 5:37 AM,6/25/16 5:30 AM,Three unknown suspects forcibly took a back pack from a victim walking on the sidewalk off-campus / CPD case HZ322507,CPD,16-00538
36,Void,Void,Void,Void,Number generated in error,Void,16-00539
37,Information / Burglary,Kimbark between 57th &amp; 58th,6/25/16 10:40 AM,6/24/16 to 6/25/16 4:00 PM to 10:05 AM,Unknown person(s) forced entry to a private apartment off-campus via rear door / CPD case,CPD,16-00540
38,Information / Armed Robbery,950 E. 53rd St.,6/24/16 12:15 AM,6/24/16 12:05 AM,"Three unknown suspects, one armed with a handgun, took property from two victims walking on the sidewalk off-campus / Victims reported no injuries / CPD case HZ320940",CPD,16-00534
39,Void,Void,Void,Void,Number generated in error,Void,16-00535
40,Theft,1362 E. 59th St. (Lab School),6/24/16 5:16 PM,6/24/16 4:05 PM to 4:10 PM,Unattended iPhone taken from desk top in unsecured office,Open,16-00536
41,Found Property,6054 S. Drexel,6/23/16 12:51 PM,6/22/16 to 6/23/16 5:00 PM to 12:45 PM,Items found on shuttle bus turned over to UCPD for safekeeping by First Transit staff member,Closed,16-00530
42,Theft,5757 S. Woodlawn (Plein Air Café),6/23/16 5:09 PM,6/23/16 5:00 PM,Suspect distracted victim and took cell phone from the table in café,Open,16-00531
43,Criminal Trespass to Land,5700 S. Ellis (Eckhardt Research Center),6/23/16 5:37 PM,6/23/16 5:37 PM,Two unauthorized individuals were discovered in a secured area / Individuals given a trespass warning and escorted off the premises by UCPD officers,Closed,16-00532
44,Information / Attempt Robbery,51st &amp; Cornell,6/23/16 11:32 PM,6/23/16 11:00 PM,Two unknown suspects attempted to take a back pack from a victim walking on the sidewalk off-campus / Suspects fled without taking property / CPD case HZ320903,CPD,16-00533
45,Theft,1155 E. 60th St.(Harris School Bike Rack),6/22/16 4:27 AM,6/21/16 to 6/22/16 2:00 AM to 4:20 AM,Secured bicycle taken from bike rack,Open,16-00524
46,Information / Lost Property,6045 S. Kenwood,6/22/16 2:10 PM,6/22/16 9:10 AM to 2:05 PM,Staff member reports losing wallet containing UC ID on CTA bus outside of the UCPD Patrol Area,Closed,16-00525
47,Armed Robbery,5600 S. Kimbark (Public Way),6/22/16 4:24 PM,6/22/16 4:20 PM,"Two unknown suspects, one armed with a handgun, took property from a person walking on the sidewalk off-campus / Victim reported no injuries",Open,16-00526
48,Battery / Domestic,6031 S. Ellis (Granville-Grossman RH),6/22/16 5:32 PM,3/1/15 to 4/1/16 Various,Victim provided information of domestic / dating violence over an extended period of time,Open,16-00527
49,Theft from Motor Vehicle,6050 S. Woodlawn,6/21/16 10:41 AM,6/18/16 12:00 AM to 7:00 AM,Unknown person(s) entered and took property from an unsecured car parked on the street,Open,16-00521
50,Theft  ,1100 E. 57th St. (Mansueto Library),6/21/16 11:24 AM,6/16/16 2:00 PM to 2:45 PM,iPad taken from unattended and unsecured back pack ,Open,16-00522
51,Criminal Trespass to Land,924 E. 57th St. (BSLC),6/21/16 12:21 PM,6/21/16 12:21 PM,"Individual, after receiving prior oral and written notice banning him from University property, was arrested by UCPD officers for trespass",Arrest,16-00523
52,Theft,924 E. 57th St. (BSLC),6/20/16 12:37 PM,6/20/16 12:20 PM to 12:35  PM,"iPhone taken from an unattended, unsecured book bag left in hallway",Open,1-00518
53,Theft,Starbucks 865 E. 57th St.,6/20/16 2:22 PM,6/20/16 1:15 PM,Unknown suspect  distracted victim and took iPhone from table top,Open,16-00519
54,Information / Traffic Crash,1501 E. 55th St.,6/20/16 6:41 PM,6/20/16 6:35 PM,Car sideswiped a shuttle bus unloading passengers / Property damage only / No injuries reported MVA 2016-00099,Closed,16-00520
55,Information / Aggravated Battery,4505 S. Drexel (Public Way),6/19/16 2:22 AM,6/19/16 2:22 AM,CPD officers responded to off-campus location at 45th &amp; Drexel and found individual suffered gunshot wound to the right leg / Transported to hospital by CFD EMS / CPD case HZ313795,CPD,
56,Information / Aggravated Battery,6147 S. Kimbark,6/19/16 6:17 PM,6/19/16 6:15 PM,CPD and UCPD officers responded to a call of shots fired off-campus / Officers were informed a 3-yr.-old child suffered gunshot wounds as a result of a drive-by shooting / Parent rushed the child to the hospital / CPD case HZ314632,CPD,
57,Criminal Trespass to Motor Vehicle,5500 S. South Shore Dr.,6/19/16 9:56 PM,6/19/16 9:50 PM,UCPD officers arrested a motorist for driving a vehicle that had been reported stolen in Romulus MI,Arrest,16-00517
58,Information / Death Investigation,54th St. between Dorchester and Blackstone,6/18/16 10:20 AM,6/18/16 10:20 AM,As a result of a well-being check CPD officers found two people deceased in an off-campus private residence / CPD case HZ312763,CPD,16-00516
59,Traffic Crash / Property Damage,941 E. 54th St.,6/17/16 12:57 AM,6/17/16 12:55 AM,"UCPD officer observed a motorist collide with a parked vehicle, a wrought iron fence and a city sign / Motorist was arrested and charged with DWI and other traffic citations",Arrest,16-00513
60,Lost Property,6054 S. Drexel,6/17/2016 9:26,6/16/16 4:40 PM to 5:30 PM,Individual reported losing his wallet somewhere in the vicinity of 60th &amp; Drexel ,Closed,16-00514
61,Theft,5835 S. Greenwood (Stuart Hall),6/17/16 10:51 AM,6/10/16 to 6/17/16 6:00 PM to 10:50 AM,Desktop computer taken from Stuart Hall library room 215,Open,16-00515
62,Domestic Battery,5841 S. Maryland (Mitchell Hospital),6/16/16 10:27 AM,6/16/16 10:22 AM,"During a verbal dispute, patient's girlfriend threw a cup at victim resulting in a laceration to his chin / Suspect arrested by UCPD",Arrest,16-00510
63,Void,Void,Void,Void,Number generated in error,Void,16-00511
64,Theft,5501 S. Ellis (Public Way),6/16/16 7:06 PM,6/16/16 6:50 PM to 7:00 PM,Bag left unattended on sidewalk taken by unknown person / Bag later recovered minus energy drink and medication,Open,16-00512
65,Theft from Person,5758 S. Maryland (DCAM),6/15/16 8:58 AM,6/15/16 8:10 AM,"Unknown subject brushed against victim on the elevator / Upon exiting the elevator, the victim realized her cell phone had been taken from her pocket",Open,16-00505
66,Information / Aggravated Battery,6227 S. Cottage Grove (Alleyway),6/15/16 9:22 PM,6/15/16 9:20 PM,CPD officers responded to a call of shots fired off-campus found a victim shot in an alleyway / CFD EMS transported victim to hospital / CPD case ,CPD,16-00507
67,Theft  ,901 E. 58th St. (Mitchell ER),6/15/16 10:34 PM,6/15/16 7:00 PM to 10:00 PM,Two prescription pill bottles taken from purse while owner slept in a chair in exam room / Complainant informed investigator she found her medication at home / No crime committed,Unfounded,16-00508
68,Information / Armed Robbery,1342 E. 55th St. (Public Way),6/15/16 11:39 PM,6/15/16 11:30 PM,"Two unknown suspects, one armed with a handgun, took a backpack from a victim walking on the sidewalk off-campus before fleeing northbound on S. Kenwood / Victim reported no injuries / Referred to CPD",CPD,16-00509
69,Information / Medical Call,924 E. 57th St. (BSLC),6/14/16 10:04 AM,6/14/16 9:45 AM,"Individual suffered a seizure / CFD EMS responded, however, subject declined offer of medical treatment ",Closed,16-00503
70,Found Property,5835 S. Greenwood (Stuart Hall),6/14/16 2:17 PM,6/14/16 1:00 PM,Individual found a wallet while in Stuart Hall / Turned over to UCPD for safekeeping,Closed,16-00504
71,Information / Lost Property,55th &amp; Lake Park to 54th &amp; Kenwood,6/13/16 10:20 AM,6/12/16 10:30 PM to 10:45 PM,"Individual reports losing wallet, containing UC ID, between 55th &amp; Lake Park and 54th &amp; Kenwood",Closed,16-00499
72,Found Property,6054 S. Drexel,6/13/16 12:33 PM,6/1016 to 6/11/16 4:30 PM to 12:30 AM,Samsung Galaxy S5 found on Shuttle Bus turned over to UCPD by First Transit staff member / Inventoried for safekeeping at UCPD,Closed,16-00500
73,Void,Void,Void,Void,Report number generated in error,Void,16-00501
74,Traffic Crash / Property Damage,5747 S. Ellis,6/13/16 1:54 PM,6/13/16 1:54 PM,UC owned vehicle involved in traffic crash with another vehicle / No injuries reported / 2016 MVA00093,Closed,16-00502
75,Lost Property,5815 S. Maryland (Mitchell Hospital),6/12/16 12:25 PM,6/10/16 to 6/12/16 4:30 PM to 10:00 AM,Wallet placed under bedsheets by patient is missing / Laundry is being checked,Closed,16-00497
76,Warrant Arrest,1519 E. 54th St.,6/12/16 2:18 PM,6/12/16 2:18 PM,"Subsequent to stopping a motorist for a traffic violation, UCPD officer discovered motorist was wanted on a warrant issued by Cook County Sheriff's Dept.",Arrest,16-00498
77,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1465621200,,,,,,
78,Assault,5815 S. Maryland (Mitchell Hospital),6/10/16 11:29 AM,6/10/16 11:10 AM,Victim's boyfriend threatened her and placed her in fear of receiving bodily harm / Suspect left before UCPD officers arrived / Victim refused to prosecute,Ex. Cleared,16-00494
79,Injured Person,5801 S. Ellis (Levi Hall),6/10/16 1:19 PM,6/10/16 11:30 AM,"Visitor tripped on steps, dropping glass bottle that shattered resulting in a laceration of victim's right hand / Victim declined offer of medical attention",Closed,16-00495
80,Lost Property,5505 S. Ellis (Parking Structure),6/10/16 3:10 PM,6/10/16 2:40 PM to 3:05 PM,Individual reported losing purse from basket of Divvy bike,Closed,16-00496
81,Information / Robbery,1027 E. 53rd St. (Public Way),6/9/16 1:06 AM,6/9/16 1:05 AM,Two unknown suspects forcibly took a bag from a victim walking on the sidewalk off-campus / CPD case HZ299471,CPD,16-00488
82,Lost Property,5800 S. Greenwood (Main Quad),6/8/16 3:57 PM,6/8/2016  12:00 PM to 3:00 PM,Individual lost UC ID somewhere in the Main Quadrangle,Closed,16-00489
83,Information / Traffic Crash,5812 S. Kenwood,6/9/16 10:44 AM,6/9/16 10:40 AM,"UC owned vehicle involved in traffic crash / Property damage only, no injuries reported / 2016 MVA00092",Closed,16-00490
84,Found Property,6054 S. Drexel,6/9/16 10:38 AM,6/8/16 4:00 PM to 11:55 PM,A wallet found on a shuttle bus turned over to UCPD for safekeeping by First Transit staff member,Closed,16-00491
85,Found Property,5801 S. Ellis (Main Quad),6/8/16 9:36 AM,6/7/16 7:00 AM,A staff member found a papier-mâché torso in the Quadrangle near Levi Hall / Inventoried at UCPD,Closed,16-00483
86,Found Property,6054 S. Drexel (UCPD HQ),6/8/16 12:18 PM,6/7/16 12:00 PM,Wallet found on First Transit bus turned over to UCPD for safekeeping,Closed,16-00484
87,Lost Property,970 E. 58th St. (Bookstore),6/8/16 4:07 PM,6/8/16 3:00 PM to 3:15 PM,Individual reports losing a  bag / Recalls last seeing the bag while in the bookstore,Closed,16-00485
88,Information / Criminal Damage to Property,6420 S. University (Woodlawn Charter School),6/8/16 7:52 PM,6/8/16 7:52 PM,Approximately 30-40 subjects gained entry and vandalized the school / Subjects fled as police arrived on the scene / CPD case HZ299269,CPD,16-00486
89,Lost Property,5700 S. Maryland (CCD),6/7/16 5:46 PM,6/7/16 19:00 AM to 5:00 PM,Patient lost ring in hospital,Closed,16-00481
90,Information / Armed Robbery / Vehicle Hijacking,54th St. between Hyde Park &amp; Everett,6/7/16 8:20 PM,6/7/16 8:15 PM,"Unknown suspect, armed with a handgun, took car from 2 victims while in off-campus residential garage / CPD case HZ297854",CPD,16-00482
91,Void,Void,Void,Void,Number generated in error,Void,16-00476
92,Found Property,5735 S. Ellis (Searle Lab),6/6/16 11:50 AM,6/6/16 11:50 AM,Individual found a wallet and turned it over to UCPD / Owner notified that wallet is being held for safekeeping,Closed,16-00477
93,Theft,1101 E. 56th St. (Max Palevsky Bike Rack),6/6/16 3:15 PM,6/5/16 to 6/6/16 8:00 PM to 10:30AM,Wheel taken from bicycle secured to bike rack,Open,16-00478
94,Attempt Theft,5840 S. Maryland (Parking Structure),6/6/16 1:47 PM,6/6/16 1:45 PM,One suspect distracted victim on elevator while second suspect attempted to remove wallet from victim's purse / Suspects fled in vehicle but were arrested by UCPD officers at 55th &amp; Ellis,Arrest,16-00479
95,Information,1327 E. 57th St. (Z&amp;H Coffee Shop),6/5/16 2:25 PM,6/5/16 1:20 PM to 1:40 PM,Individual left a cell phone on a table in restaurant but upon return could not locate the phone / Management later called the individual and reported locating the phone which was returned to owner,Closed,16-00475
96,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1465016400,,,,,,
97,Theft,5640 S. Ellis (Eckhardt),6/3/16 10:11 AM,5/25/16 4:15 PM to 4:30 PM,Set of keys taken from a desk top in unsecured office,Open,16-00467
98,Found Property,6054 S. Drexel,6/3/16 11:06 AM,6/2/16 4:00 PM,A debit card found on a shuttle bus turned over to UCPD by First Transit / Inventoried for safekeeping,Closed,16-00468
99,Found Property,6100 S. Kenwood (Public Way),6/3/16 5:59 AM,6/3/16 5:59 AM,A large handbag containing miscellaneous papers found on the public way / Turned over to UCPD for safekeeping,Closed,16-00469
100,Lost Property,5721 S. Maryland (Comer Hospital),6/3/16 12:17 PM,6/3/2016  11:55:00 AM to 12:00 PM,Individual reports losing cell phone while in the hospital,Closed,16-00470
101,Liquor Law Violation,5900 S. Ellis,6/2/16 1:20 AM,6/2/16 1:20 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,16-00463
102,Information,6030 S. Kimbark (Parking Lot),6/2/16 12:48 AM,6/2/16 12:48 AM,Contract employee found deceased in his vehicle parked in the parking lot / CPD case,CPD,16-00464
103,Information / Disturbance,901 E. 58th St. (Mitchell Emergency Room),6/2/16 10:46 AM,6/2/16 10:46 AM,Visitor was shouting and creating a disturbance in the ER / Escorted out of ER / Peace restored,Closed,16-00465
104,Theft,5706 S. University (Reynolds Club),6/2/16 8:19 PM,6/2/16 7:30 PM to 7:45 PM,"Unattended, unsecured cash box and suitcase containing DVDs taken by unknown person / Cash box and suitcase were in custody of a co-worker / No crime occurred",Unfounded,16-00466
105,Lost Property,1100 E. 57th St. (Shuttle Bus),6/1/16 1:45 PM,5/25/16 5:15 PM to 6:00 PM,Individual reports losing wallet while on First Transit Shuttle Bus / First Transit reported no wallet was turned in,Closed,16-00461
106,Battery,5815 S. Maryland (Mitchell Hospital),6/1/16 9:04 PM,6/1/16 9:00 PM,"During the course of an argument  in patient's room, one individual choked another person / Suspect fled before police arrived",Open,16-00462
107,Robbery,1145 E. 56th St. (Public Way),5/31/16 12:14 AM,5/31/16 12:05 AM,Victim walking on the sidewalk was struck with a fist while three unknown suspects took his backpack and fled eastbound on foot / Victim declined medical attention,Open,16-00457
108,Information / Theft,1530 E. 53rd St. (Starbucks Café),5/31/16 12:54 PM,5/31/16 10:55 AM to 11:30 AM,"Unattended, unsecured purse left on chair in café off-campus taken by an unknown person / CPD case",CPD,16-00458
109,Found Property,6054 S. Drexel ,5/31/16 2:21 PM,5/29/16 12:00 PM to 8:00 PM,Cell phone found on Shuttle Bus turned over to UCPD for safekeeping,Closed,16-00459
110,Lost Property,5807 S. Woodlawn (Booth School),5/31/16 4:41 PM,1/1/13 to 1/1/14,Person reports losing Republic of Mauritius passport at unknown location over an extended period of time,Closed,16-00460
111,Liquor Law Violation,Kenwood between 51st &amp; 52nd,5/30/16 1:18 AM,5/30/16 1:18 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,16-00453
112,Liquor Law Violation,1414 E. 59th St. (I-House),5/30/16 2:53 AM,5/30/16 2:53 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,16-00454
113,Information / Burglary,Kimbark between 57th &amp; 58th,5/30/16 8:07 AM,5/30/16 1:30 AM to 7:00 AM,Unknown person(s) entered private off-campus residence via unlocked door and took two laptop computers / CPD case,CPD,16-00455
114,Criminal Damage to Property,5700 S. Stony Island (RH Parking Lot),5/30/16 8:23 PM,5/29/16 to 5/30/16 9:30 AM to 8:15 PM,Unknown person(s) smashed passenger's side window of vehicle parked in parking lot,Open,16-00456
115,Information / Well-Being Check,55th between Dorchester &amp; Harper,5/29/16 8:58 PM,5/29/16 8:58 PM,"As a result of a well-being check, subject was transported to ER for evaluation and treatment",Closed,16-00450
116,Lost Property,5300 S. Ellis,5/29/16 9:44 PM,5/29/16 1:00 AM to 9:00 PM,Individual reports losing wallet and iPhone - possibly while attending a party,Closed,16-00451
117,Information / Theft from Person,5447 S. Ellis (Public Way),5/29/16 11:35 PM,5/29/16 11:15 PM,Unknown suspect approached victim walking on the street off-campus and asked to see his iPhone / Suspect took iPhone and walked to a nearby vehicle and drove off / Referred to CPD,CPD,16-00452
118,Information / Armed Robbery,5480 S. Cornell (Public Way),5/28/16 6:47 PM,5/28/16 6:40 PM,"An unknown suspect, armed with a handgun, took property from two victims walking on the sidewalk off-campus before fleeing to a waiting vehicle that sped westbound on 55th St. / Victims reported no injuries / CPD case HZ283790",CPD,16-00449
119,Found Property,5300 S. Blackstone (Public Way),5/27/16 5:06 AM,5/27/16 5:00 AM,Individual found wallet on the public way / Turned over to UCPD for safekeeping,Closed,16-00448
120,Information / Shots Fired,834 E. 50th St.,5/27/16 11:58 AM,5/27/16 11:58 AM,"CPD and UCPD officers responded to a call of shots fired off-campus / No suspects found, no injuries reported / CPD case",CPD,
121,Lost Property,5730 S. Ellis (Crerar Library),5/26/16 12:29 AM,5/25/16/ to 5/26/16 5:25 PM to 12:25 AM,Individual reported losing a MacBook laptop somewhere between 5730 S. Ellis to 924 E. 57th St.,Closed,16-00447
122,Theft,5530 S. Ellis (Ratner A.C.),5/25/16 12:07 PM,5/16/16 6:20 AM to 7:45 AM,Various items including cash and shoes taken from 5 unsecured lockers in locker room,Open,16-00445
123,Theft,5758 S. Maryland (DCAM),5/25/16 2:11 PM,5/25/16 2:10 PM,Wallet taken from purse left unattended in unsecured room / Wallet later found in stairwell minus the contents,Open,16-00446
124,Theft,5700 S. Woodlawn (Chabad Center),5/24/16 8:22 AM,5/21/16 to 5/24/16 7:00 PM to 8:15 AM,Bicycle secured to bike rack in rear yard taken by unknown person,Open,16-00439
125,Mental Health Transport,1101 E. 56th St.(Max Palevsky RH),5/24/16 11:36 AM,5/24/16 11:36 AM,Individual transported to ER by CFD EMS for evaluation,Closed,16-00440
126,Information / Fire,5811 S. Ellis (Cobb Hall - Exterior),5/24/16 3:38 PM,5/24/16 3:38 PM,UCPD officer used a fire extinguisher to extinguish a smoldering fire in a trash can outside of Cobb Hall / No injuries or property damage reported / CFD responded,Closed,16-00441
127,Information / Aggravated Assault,6141 S. Kimbark,5/24/16 3:28 PM,5/24/16 3:25 PM,CPD and UCPD officers responded to calls of shots fired off-campus on Kimbark between 61st &amp; 62nd / 4 suspects were observed fleeing the area in a white Chevrolet Impala / No injuries reported / CPD case HZ277947,CPD,16-00442
128,Theft,5550 S. University (Crown Field House),5/23/16 5:11 PM,5/23/16 3:30 PM to 5:10 PM,"iPhone, cash, and Ventra card taken from unattended, unsecured bag left in hallway / Suspect identified, arrested for other crimes by CPD, victim declined to prosecute",Ex. Cleared,16-00436
129,Theft,5020 S. Cornell (Hyde Park Art Center),5/23/16 8:55 PM,5/23/16 3:00 PM to 5:30 PM,"Unsecured, unattended cell phone and wallet taken from conference room / Wallet later found minus cash and credit card",Open,16-00437
130,Information / Motor Vehicle Theft,920 E. 61st St. (Campus Housing),5/22/16 11:52 AM,5/21/16 to 5/22/16 9:00 PM to 10:00 AM,A 2015 Subaru SUV taken from area next to apartment building / Referred to CPD,CPD,16-00433
131,Information / Shots Fired,5000 S. Drexel,5/22/16 3:55 PM,5/22/16 3:55 PM,"CPD and UCPD officers responded to calls of shots fired off-campus in the area of 50th &amp; Drexel / No suspects, property damage found / No injuries reported",CPD,
132,Information / Injured Person,5100 S. Shore Dr. (Bike Path),5/22/16 4:33 PM,5/22/16 4:25 PM,Cyclist fell from bicycle injuring his chin on bike path off-campus / Transported to ER for treatment,Closed,16-00434
133,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1463806800,,,,,,
134,Liquor Law Violation,5630 S. University (Max Palevsky RH),5/20/16 1:42 AM,5/20/16 1:42 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,16-00423
135,Information,5225 S. Cottage Grove (Facilities Services),5/20/16 10:17 AM,5/12/16 to 5/20/16 12:00 PM to 10:00 AM,Report of threats made by an individual / Complainant did not want to pursue prosecution at this time,Referred,16-00424
136,Lost Property,5550 S. University (Crown Field House),5/20/16 12:32 PM,5/15/16 5:30 PM to 8:30 PM,Individual reports losing a key fob to personal vehicle,Closed,16-00425
137,Information,6054 S. Drexel (Parking Structure),5/20/16 2:09 PM,5/19/16 to 5/20/16 7:00 AM to 8:35 AM,Computer cover missing from UC owned vehicle,Closed,16-00426
138,Information / Armed Robbery,5433 S. University (Public Way),5/19/16 3:10 AM,5/19/16 2:30 AM,"Two unknown suspects, one armed with a handgun, took property from a victim walking on the sidewalk off-campus / CPD case HZ270375",CPD,16-00421
